#,Group,Indicator,Feasible?,Used questionnaire(s),Used questions,Guidance,Logic,Calculation Comprehensive monitoring,Remarks,
27,,Effluent pumping at the plant,Yes,Monitoring,1748907188132,,Yes / No.,COUNT(Yes) of 1748907188132 vs total.,,
28,,Urgent maintenance programs,Yes,Monitoring,"1748910860630
1748910928304 (details)",,Yes / No.,COUNT(Yes) of 1748910860630.,,
29,,Preventative maintenance programs,Yes,Monitoring,"1748910968346
1748911015414 (details)",,Yes / No.,COUNT(Yes) of 1748910968346.,,
30,,Upgrading programs,Yes,Monitoring,"1748911109721
1748911146330 (details)",,Yes / No.,COUNT(Yes) of 1748911109721.,,
31,Treatment Units Functionality - Inflow,Inflow,,Monitoring,"1748906535935
1748911325583
1748911325349",,Meter Y/N, inlet conditions multi-select (Normal / Surcharging / Overflow weirs / Hydraulically overloaded / Bypass / Unknown source / Other), average inflow rate (m3/day).,"remove type from form,"
32,,Influent Pumping,Yes,Monitoring,"1748906592858
1748914793745",,Presence Y/N + multi-select status (Normal / Inadequate wet-weather pumping / Screens overloaded / Poor ventilation / Pumps not operational / Pump house bad / good / No pump station).,"• Presence: COUNT(Yes) of 1748906592858.
• Status bar: count per option of 1748914793745 (Normal operation / Inadequate pumping during wet weather flows / Screens overloaded / Poor ventilation / Pumps not operational / Pump house in bad condition / Pump house in good condition / No influent Pump Station in the plant).",,
33,Treatment Units Functionality - Per-process,Preliminary treatment,,Monitoring,"1748906571911 (Screening)
1748914436150 (Grit removal)",,Multi-select per WAF form (Normal / Excessive screen clogging / Debris buildup / Oil & grease buildup / Improper disposal of screenings / Excessive odors / Other).,"Count per option of BOTH:
  1748906571911: Normal / Excessive screen clogging / Debris buildup / Oil & grease buildup / Improper disposal / Excessive odors / Other.
  1748914436150: Normal / Grit chamber clogged / Less than normal grit accumulation / Oil & grease buildup / Excessive organic content of grit / Wear and tear / Excessive odor / Other.",FORM has a SEPARATE 'Grit removal' question that the dashboard's 'Preliminary treatment' panel currently bundles. Recommend showing them as 2 sub-panels OR merging counts.,
34,,Primary clarifier,Yes,Monitoring,1748906604803,,Multi-select per WAF form.,Count per option of 1748906604803 (multi-select).,,
35,,Trickling filters,Yes,Monitoring,1748906632114,,Multi-select per WAF form.,Count per option of 1748906632114 (multi-select).,,
36,,Activated sludge system,Yes,Monitoring,1748915642008,,Multi-select per WAF form.,Count per option of 1748915642008 (multi-select).,,
37,,Stabilization lagoons,Yes,Monitoring,1748906806971,,Multi-select per WAF form.,Count per option of 1748906806971 (multi-select).,,
38,,Anaerobic lagoons,,Monitoring,1748906938999,,Multi-select per WAF form.,Count per option of 1748906938999 (multi-select).,Form has placeholder option 'New Option' in this field's list. Verify with DWS that this should be removed or replaced with a real label.,
39,,Secondary clarifier,Yes,Monitoring,1748907057799,,Multi-select per WAF form.,Count per option of 1748907057799 (multi-select).,,
40,,Oxidation ponds,Yes,Monitoring,1754995400903,,Operational / Non operational.,Count per option of 1754995400903: Operational / Not Operational.,,
41,,Pasveer ditches,Yes,Monitoring,1754995400913,,Operational / Non operational.,Count per option of 1754995400913.,,
42,,IDEA lagoons,Yes,Monitoring,1754995400923,,Operational / Non operational.,Count per option of 1754995400923.,,
43,,Polishing ponds,Yes,Monitoring,1754995400933,,Operational / Non operational.,Count per option of 1754995400933.,,
44,,Aerobic lagoons,Yes,Monitoring,1754995400943,,Operational / Non operational.,Count per option of 1754995400943.,,
45,,Sludge digester,Yes,Monitoring,1754995400953,,Operational / Non operational.,Count per option of 1754995400953.,,
46,,Imhoff tanks,Yes,Monitoring,1754995400963,,Operational / Non operational.,Count per option of 1754995400963.,,
47,,Sludge aerobic digestion,Yes,Monitoring,1748907110680,,Multi-select: Normal / Excessive foaming / Bad odor / Insufficient DO / Digester overloaded / Mechanical aerator failure / Inadequate supernatant removal / Other.,Count per option of 1748907110680 (multi).,,
48,,Sludge handling,Yes,Monitoring,1748907110308,,Multi-select per WAF form.,Count per option of 1748907110308 (multi).,,
49,,Drying beds,Yes,Monitoring,1748907173282,,Multi-select per WAF form.,Count per option of 1748907173282 (multi).,,
50,,Plant Effluent observations,Yes,Monitoring,1748907201859,,Multi-select: Effluent Clear / Bad odor / Low DO / Excessive SS-turbidity-foam-grease-scum-colour / Other. Always-applicable.,Count per option of 1748907201859: Effluent Clear / Bad odor / Low DO / Excessive SS-turbidity-foam-grease-scum-colour / Other.,Always-applicable (every plant has effluent). Form lacks a parallel for influent — the at-a-glance dashboard donut uses 1748911325583 for influent.,
51,Individual Plant Overview,Search & inline plant card,,Registration + Monitoring,ALL Registration + Monitoring + Quick Monitoring questions,,Selectable picker. Renders mini site-hero plus grouped tables that mirror the WAF WWTP monitoring form.,"Display the latest Monitoring submission per plant, structured as:
  • Registration: 1748903442166, 1748903240794, 1748903539202, 1748905778961, 1748903613622, 1748904785806
  • General: 1748905754732, 1748906474270, 1748910159332
  • Processes: 1748913763000
  • OHS: 1748910184998, 1748910219997, 1748910278981, 1748910823255
  • Plant conditions: 1748910573525, 1748910613027, 1748910637040, 1748910727099
  • Yes/No: 1748910770584, 1748910860630, 1748910968346, 1748911109721
  • Inflow: 1748906535935, 1748911325583, 1748911325349
  • Influent pumping: 1748906592858, 1748914793745
  • Effluent sample params: 1754995400901, 1754995400302, 1754995400501, 1754995400503, 1754995400505, 1754995400705, 1754995400102, 1754995400301, 1754995400701
  • Treatment statuses: one per in-use process (see rows 34–51)
  • Constraints + recommendations: 1748918417541, 1748907223535, 1748918485299, 1748918550536, 1748918679466",Show both forms' history in chronological order per plant. Verify with DWS how to merge them in the timeline view.,
52,All WWTP Sites,All WWTP Sites,,Registration + Monitoring,"1748903442166, 1748903240794, 1748905778961, 1748905754732, 1754995400901, 1754995400701, 1754995400301, 1748910184998",,Click-through table - Plant / Division / District / Pop. Connected / Last Inspected / Effluent / OHS / Status.,"One row per registered plant. Columns:
  • Plant — 1748903442166
  • Division — 1748903240794
  • Pop. Connected — 1748905778961
  • Last Inspected — latest of 1748905754732 / 1748905754740
  • Effluent — pass/fail by BOD/COD/TDS thresholds
  • OHS — derived count of YES across 1748910184998, 1748910219997, 1748910278981, 1748910823255
  • Status — derived (see row 4).","Form does NOT capture District separately from Division. Add District field to Registration, OR derive from GPS lookup.",
