#,Group,Indicator,Feasible?,Used questionnaire(s),Used questions,Guidance,Logic,Calculation Comprehensive monitoring,Remarks
11,,Pumps & Chemical Dosing Functioning,,,"1754995400013, 1754995400028, 1754995400043 (pump risks)
1749698699399, 1749704846694, 1749705116886, 1749705449153 (disinfectant risks)
1749696125775, 1749696429991, 1749696644615, 1749696956618 (coagulant/correction risks)",,,"Stacked bar of pass/fail across 3 sub-domains:
  • Pumps functioning: % plants with all relevant pump-risk flags = No (Rising Main 1754995400013, Borehole 1754995400028, Gallery 1754995400043) — only those that the plant uses.
  • Chemical dosing OK: % plants with all 'risks?' flags = No across chemicals in use (1749698699399, 1749704846694, 1749705116886, 1749705449153, 1749696125775, 1749696429991, 1749696644615, 1749696956618).
  • Filtration / sedimentation OK: % plants with 1749697815486 = No AND 1749697503628 = No.","When a plant doesn't use a given chemical / pump type, exclude it from the denominator. Verify the precise pass-rule for each sub-domain with DWS."
12,,Treatment Processes in Use,Yes,,"1749634736799 (plant type)
1749652997590 (chemicals)
1749653030359, 1749697374360, 1749697716330, 1749698044673 (sed)
1749653091407 (disinfection)",,,"Horizontal bar: # plants per process. Derive 'process in use' from:
  • Coagulation/Flocculation — 1749653030359 = Yes
  • Sedimentation/Clarification — 1749697374360 = Yes
  • Filtration — 1749697716330 = Yes
  • Backwash sludge removal — 1749698044673 = Yes
  • Disinfection — 1749653091407 non-empty
  • Chemical-specific (Alum, Polymer, Lime, Soda Ash) — 1749652997590 options",
13,,Compliance Trend,,,Submission timestamp + all DW + operational fields,,,GROUP BY month(submission_timestamp). Per month: % plants passing each domain (DW / Pumps & Dosing / Operational / OHS).,"Requires accumulated historical data. For first months after rollout, label series 'partial data'."
14,,OHS Policy Flow,Yes,,"1749692619340 (Has OHS policy)
1749692658734 (Staff use OHS equipment)
1749692692815 (Staff comply)",,,"Sankey stages:
  All plants → 1749692619340 = Yes → 1749692658734 = Yes → 1749692692815 = Yes.
Each transition's width = count of plants meeting all prior conditions.",
15,Monitoring Status,Monitored (12 mo),Yes,,1900000000101,,,COUNT DISTINCT plants with 1900000000101 in last 12 months.,
16,,Critical issues,Yes,,Composite — see row 6 (critial-red),,,Count of WTPs with risk = red (per row 6 rule).,
17,,No water-quality check,Yes,,1749692856000,,,COUNT plants where latest 1749692856000 = No.,Take latest of either form per plant.
18,,Inspection-date histogram,Yes,,Submission timestamp,,,"Bucket plants by months since last submission (0–17 + >18). Bar coloured by recency (≤6 mo green, 7–12 amber, >12 red).",
19,,Most recently monitored,Yes,,"Submission timestamp
1749640508299",,,Top 8 plants ORDER BY latest submission DESC.,
20,,Needs monitoring,Yes,,"Submission timestamp
1749640508299",,,Top 8 plants ORDER BY latest submission ASC (oldest first).,
21,,All Water Treatment Plants,,,All Registration + latest Monitoring fields,,,"One row per registered plant. Columns derive from: 1749635249444, 1749635162210, 1749634736799, 1749635313175, latest 1749652417794, DW pass, latest sample method (1749692895121), OHS aggregate, latest inspection.",Form does not capture District separately from Division — same gap as in WWTP / Pump templates. Add or derive.
22,Treatment set-up,Raw Water Source,,,"1749652966061 (Surface / Ground)
1749693552939 (Surface risks Y/N)
1749695045123 (Ground risks Y/N)",,,"Stacked horizontal bar — Surface vs Ground from 1749652966061.
  Green segment = plants with risks = No
  Red segment = plants with risks = Yes (per 1749693552939 or 1749695045123 depending on source).",
23,,Treatment Chemicals,Yes,,"1749652997590 + each chemical's risks Y/N:
1749696125775, 1749696644615, 1749696956618, 1749696429991, 1749698699399",,,"Horizontal bar per chemical (Chlorine / Potassium Aluminium Sulphate / Polymer / Lime / Sodium Carbonate). Stacked:
  Green = in use (1749652997590 contains chemical) AND risks=No.
  Red   = in use AND risks=Yes.
Plants not using the chemical excluded from the bar.",
24,,Sedimentation — Floc Tank Count,Yes,,"1749653030359 (Y/N)
1749697133234 (# tanks)",,,Histogram of plants by 1749697133234 (only counting plants where 1749653030359 = Yes).,Plants without floc tanks excluded — show count separately in caption.
25,,Sedimentation Tank Type,Yes,,"1749697374360, 1749697404925, 1749697434141",,,"Bar of # tanks per type from 1749697434141 (multi-select: Horizontal Flow / Up Flow Vertical / Rectangle Lamella Plates / Lamella Tubes).
Sum 1749697404925 across plants reporting each type.",
26,,Sedimentation — Active Risks,Yes,,1749697163079 + 1749697221338 + 1749697503628 + 1749697561569,,,"Horizontal bar across risk options:
  COUNT plants where each option appears in 1749697221338 OR 1749697561569.
  Options: Overloading / High turbidity / Low retention time / Carried over flocs / Mechanical / Electrical / Desludging / Other.",
27,,Disinfection Technique,Yes,,"1749653091407
1749698531949 (SOPs)",,,Donut of plants per option of 1749653091407 (Chlorine gas / HTH Powder / Sodium Hypochlorite / DPD Tablets). Plus side note: % with disinfection SOP (1749698531949 = Yes).,
28,,Disinfection — Active Risks,Yes,,"1749698753569
1749704890550
1749705162551
1749705495320",,,"Horizontal bar across risk categories aggregated from all four techniques:
  Storage / Dosage / Handling / Leakage / Other.
  Each option counted across 1749698753569, 1749704890550, 1749705162551, 1749705495320.",Also show a side-list of plants where disinfection SOP = Yes AND any active disinfection risk Y/N flag = Yes (click-through to profile).
29,,Magnetic Flow Meters,Yes,,"1749653112804 (Y/N)
1749699101674 (Inflow / Outflow)",,,"Bar with categories: No meter (count of 1749653112804=No) / Inflow / Outflow / Both.
  Inflow / Outflow / Both derived from 1749699101674 (multi-select).",
30,,Flow Meter Risks,Yes,,1749699154310 (Y/N) + 1749699189052 (details),,,Horizontal bar across risk options of 1749699189052: Flooded flow meter / No Flow Meter / Uncalibrated Meter / Incorrect reading / Buried meters / Defunct Meters / Other.,Form typo 'Inncorrect reading' (double n). To be corrected
31,,Reservoirs — High-Lift Pumps,Yes,,"1749699346821 (Y/N)
1749699372393 (# pumps)",,,Histogram of plants by 1749699372393 (0 = plants with 1749699346821=No).,
32,,Reservoir Risks,,,1749699414777 (Y/N) + 1749699457040,,,Horizontal bar across risk options of 1749699457040: Electrical / Mechanical / No standby pumps / Other.,"Dashboard's 'Reservoir risks' panel currently uses these HIGH-LIFT PUMP risks — verify with DWS that this is intended. There is no separate 'reservoir risks' field in the form (only Storage / Distribution counts). If a true reservoir risk question is needed, extend the form."
33,,Back-up Power Supply,Yes,,"1749653134928 (has generator)
1749699885495 (maintained?)
1749699931981 (issues text)",,,"Stacked bar with three segments:
  Green = 1749653134928=Yes AND 1749699885495=Yes
  Amber = 1749653134928=Yes AND 1749699885495=No
  Red   = 1749653134928=No (no back-up at all)",
34,Water Quality,Sampled (12 mo),Yes,,1749692856000,,,% plants with latest 1749692856000 = Yes within last 12 months.,Take latest of either form.
35,,Lab tested,Yes,,1749692895121 (Lab Test / CBT) — multiselect,,,COUNT plants where 1749692895121 contains 'Lab Test'.,Multi-select: a plant choosing both 'Lab Test' and 'CBT Bag Test' counts in BOTH this row and row 37.
36,,CBT tested,Yes,,"1749692895121
1749640821051",,,COUNT plants where 1749692895121 contains 'CBT Bag Test'.,
37,,E. coli,,,"1754995400007 (Lab) and/or 1749693051134 (CBT)
1805756143042 / 1749641099165",,,X-axis = value, pass threshold = 0. Combine Lab + CBT readings per plant — use Lab if both present.
38,,Total coliform,Yes,,"1749693340552
1749641401104",,,Jitter plot of 1749693340552, threshold 0 (per DWS).
39,,Turbidity,Yes,,"1749693079936
1749641129391",,,Jitter plot of 1749693079936, threshold < 5 NTU.
40,,Residual chlorine,Yes,,"1749693184574
1749641225922",,,Jitter plot of 1749693184574, pass band 0.2–0.5 mg/L (both bounds shown).
41,,pH,Yes,,"1754995300102
1796405550522",,,Jitter plot of 1754995300102, pass band 6.5–8.5.
42,,Conductivity,Yes,,"1754995300103
1796405550523",,,Jitter plot of 1754995300103, threshold < 1000 µS/cm.
43,,Salinity,,,"1754995300104
1796405550524",,,Jitter plot of 1754995300104, threshold < 1 ppt.
44,All Water Treatment Plants,All Water Treatment Plants,,,"1749635249444, 1749635162210, 1749634736799, 1749635313175, 1749652417794, DW params, 1749692856000",,,"One row per registered plant. Columns:
  • Plant — 1749635249444
  • Division — 1749635162210
  • District — DERIVED (not in form ⚠)
  • Type — 1749634736799
  • Capacity — 1749635313175 (ML/day)
  • Utilisation — latest 1749652417794 / 1749635313175
  • DW Quality — pass/fail from row 5 rule
  • Pumps + Dosing — pass/fail from row 12 rule
  • OHS — aggregated from 1749692619340, 1749692658734, 1749692692815
  • Last Inspected — latest submission
  • Status — derived from operational rule (row 4).",Form lacks District separately from Division. Same flag as WWTP / Pump templates.
