flow_form_id,flow_question_group,flow_question_label,flow_question_id,mis_form_id,mis_question_group,mis_question_label,mis_question_id,match_score,match_confidence,match_method
17260923,Plant Effluent,What is the Salinity in ppt?,303340967,,,,,69.39,none,none
17260923,Plant Effluent,What is the pH?,309320993,1748918946591,Plant General Information,What is the total population connected to this plant?,1748918946593,88.89,medium,text_similarity
17260923,Plant Effluent,What is the Nitrite Level in mg/L?,311400997,,,,,61.54,none,none
17260923,Plant Effluent,What is the Total Nitrogen level in mg/L?,311410997,,,,,65.71,none,none
17260923,Plant Effluent,What is the Conductivity in µS/cm,313530924,,,,,69.39,none,none
17260923,Plant Effluent,What is the Chloride level in mg/L?,315190996,,,,,56.6,none,none
17260923,Preliminary Treatment,Comment on operation of the screening system,12480921,,,,,72.22,none,none
17260923,Preliminary Treatment,Take photo of the screens,16230922,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Preliminary Treatment,Comment on the operation of the grit removal system,19240920,,,,,75.86,none,none
17260923,Preliminary Treatment,Take photo of the grit removal system,19240924,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Primary Clarifiers,Comment on the operation of the primary clarifiers,15520924,,,,,75.86,none,none
17260923,Primary Clarifiers,Take photo of primary clarifier,19220924,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Secondary Clarifiers,Comment on the operation of the secondary clarifiers,11470927,,,,,75.86,none,none
17260923,Secondary Clarifiers,Take photo of the secondary clarifier,18140928,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Sludge Aerobic Digestion,Comment on operation of the sludge aerobic digestion,11480928,,,,,72.22,none,none
17260923,Sludge Aerobic Digestion,Take photo of Sludge Aerobic Digestion,12490925,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Sludge Handling,Comment on the sludge handling system,14490926,,,,,72.34,none,none
17260923,Sludge Handling,Take photo of sludge handling system,18140932,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Stabilization Lagoons,Comment on the operation of the stabilization lagoons,14490923,,,,,75.86,none,none
17260923,Stabilization Lagoons,Take photo of the stabilization lagoon,16230925,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Staff and General Information,What are the constraints or recommendations fro professional developments?,11430925,,,,,72.0,none,none
17260923,Staff and General Information,Number of staffs at the plant?,16210923,1748918946591,Plant General Information,Number of staffs at the plant?,1748919277906,100.0,high,text_similarity
17260923,Staff and General Information,Contact number of plant supervisor,16210924,1748918946591,Plant General Information,Name of Plant Supervisor,1748919242741,91.67,medium,text_similarity
17260923,Staff and General Information,What professional development opportunities do they have?,17270927,,,,,59.7,none,none
17260923,Staff and General Information,Name of Plant Supervisor,19200927,1748918946591,Plant General Information,Name of Plant Supervisor,1748919242741,100.0,high,text_similarity
17260923,Staff and General Information,Do you have a OHS Policy for the Plant?,21290920,,,,,63.77,none,none
17260923,Staff and General Information,Do your staff use OHS equipment at workplace?,22230921,,,,,53.33,none,none
17260923,Staff and General Information,Do plant staffs comply to the requirements  of the OHS Policy?,25140925,,,,,54.55,none,none
17260923,Trickling Filters,Take photo of Trickling Filter,11460924,1748918946591,Plant Influent and Effluent,Take photo,1748919559845,100.0,high,text_similarity
17260923,Trickling Filters,Comment on the operation of the Trickling Filters,16240926,,,,,75.86,none,none
17260923,Wastewater Treatment Plant Registration,Plant inspection date?,10530927,1748918946591,Plant General Information,Plant inspection date?,1748905754740,100.0,high,text_similarity
17260923,Wastewater Treatment Plant Registration,Take photo of the treatment plant,10540923,1748918946591,Plant General Information,Take Photo of the Treatment Plant,1748919298813,100.0,high,text_similarity
17260923,Wastewater Treatment Plant Registration,How many raw sewage pump stations?,11440926,,,,,56.25,none,none
17260923,Wastewater Treatment Plant Registration,What are the different treatment processes available at the plant?,11460921,,,,,68.09,none,none
17260923,Wastewater Treatment Plant Registration,What is the total population connected to this plant?,12450926,1748918946591,Plant General Information,What is the total population connected to this plant?,1748918946593,100.0,high,text_similarity
17260923,Wastewater Treatment Plant Registration,How many re-circulation pump stations?,12460924,,,,,55.88,none,none
17260923,Wastewater Treatment Plant Registration,Total number of pump stations,14460924,,,,,62.22,none,none
17260923,Wastewater Treatment Plant Registration,Take Geolocation of Waste water Treatment Plant,14460926,,,,,73.68,none,none
17260923,Wastewater Treatment Plant Registration,Are there any pump station at the treatment plant?,15490922,,,,,79.37,none,none
17260923,Wastewater Treatment Plant Registration,Which Division are you in?,17290922,,,,,60.47,none,none
17260923,Wastewater Treatment Plant Registration,How many sludge pump stations?,17290923,,,,,52.0,none,none
17260923,Wastewater Treatment Plant Registration,How many supernatant pump stations?,18130925,,,,,52.63,none,none
17260923,Wastewater Treatment Plant Registration,What are types of pump stations?,19180924,,,,,62.5,none,none
17260923,Wastewater Treatment Plant Registration,Which Year was the plant commissioned?,19190925,,,,,63.41,none,none
17260923,Wastewater Treatment Plant Registration,What is the Design Capacity of the Plant cubic metres per day?,19200924,,,,,62.37,none,none
17260923,Wastewater Treatment Plant Registration,Name of the Plant,19200925,1748918946591,Plant General Information,Name of Plant Supervisor,1748919242741,86.67,medium,text_similarity
17260923,Wastewater Treatment Plant Registration,How many Effluent Pump Stations?,22740923,,,,,53.06,none,none
17260923,Wastewater Treatment Plant Registration,How many influent pump station,24910952,,,,,56.52,none,none
